forecast_date,target,target_end_date,location,type,quantile,value
2021-10-31,1 wk ahead inc case,2021-11-06,01041,quantile,0.975,97.68461767489904
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.025,69.98622143045328
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.100,108.53641522315912
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.250,138.50084566647072
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.500,178.55428308639523
2021-10-31,1 wk ahead inc case,2021-11-06,01043,point,NA,178.55428308639523
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.750,220.6427693396577
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.900,269.0087782694396
2021-10-31,1 wk ahead inc case,2021-11-06,01043,quantile,0.975,371.6059954672381
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.025,11.387584339635684
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.100,21.23544573487534
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.250,30.41994212803764
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.500,42.29506162734375
2021-10-31,1 wk ahead inc case,2021-11-06,01045,point,NA,42.29506162734375
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.750,57.22141746494637
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.900,75.77036552483048
2021-10-31,1 wk ahead inc case,2021-11-06,01045,quantile,0.975,118.4145109288105
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.025,54.68726944852491
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.100,93.86950070933118
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.250,131.37998961632928
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.500,184.9983292885504
2021-10-31,1 wk ahead inc case,2021-11-06,01047,point,NA,184.9983292885504
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.750,244.2024476780435
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.900,299.61013311070025
2021-10-31,1 wk ahead inc case,2021-11-06,01047,quantile,0.975,415.9788011924165
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.025,38.39012392287694
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.100,54.25193168703756
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.250,64.7868981529126
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.500,79.42905936681403
2021-10-31,1 wk ahead inc case,2021-11-06,01049,point,NA,79.42905936681403
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.750,94.77217331294236
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.900,114.2171688445434
2021-10-31,1 wk ahead inc case,2021-11-06,01049,quantile,0.975,156.20002872858856
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.025,86.28058776509647
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.100,124.22135227262936
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.250,150.0842563360876
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.500,185.0160020244071
2021-10-31,1 wk ahead inc case,2021-11-06,01051,point,NA,185.0160020244071
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.750,217.04008878181105
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.900,252.9853512184199
2021-10-31,1 wk ahead inc case,2021-11-06,01051,quantile,0.975,335.322073625746
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.025,20.25824544022593
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.100,30.61634570250689
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.250,38.20892185333771
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.500,48.31515613167833
2021-10-31,1 wk ahead inc case,2021-11-06,01053,point,NA,48.31515613167833
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.750,58.29509121702424
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.900,70.58918129191008
2021-10-31,1 wk ahead inc case,2021-11-06,01053,quantile,0.975,99.13066323990404
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.025,22.97658125077044
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.100,40.19523825425828
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.250,56.47428176890251
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.500,77.52480314264761
2021-10-31,1 wk ahead inc case,2021-11-06,01055,point,NA,77.52480314264761
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.750,104.53456095973443
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.900,138.5592691994914
2021-10-31,1 wk ahead inc case,2021-11-06,01055,quantile,0.975,215.25776238935845
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.025,15.079309299439256
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.100,27.63537785120316
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.250,39.853399737571095
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.500,57.52430840029542
2021-10-31,1 wk ahead inc case,2021-11-06,01057,point,NA,57.52430840029542
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.750,78.57534842297683
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.900,101.31559588380227
2021-10-31,1 wk ahead inc case,2021-11-06,01057,quantile,0.975,151.20861185029537
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.025,13.736942126802008
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.100,26.030592824205804
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.250,40.19785882155495
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.500,62.02535262048295
2021-10-31,1 wk ahead inc case,2021-11-06,01059,point,NA,62.02535262048295
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.750,93.8108347629905
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.900,129.5657015788629
2021-10-31,1 wk ahead inc case,2021-11-06,01059,quantile,0.975,212.51736912342048
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.025,3.888090133906704
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.100,8.013816538907287
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.250,12.597119025620364
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.500,18.65874929128792
2021-10-31,1 wk ahead inc case,2021-11-06,01061,point,NA,18.65874929128792
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.750,27.00267527042122
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.900,37.6948329689539
2021-10-31,1 wk ahead inc case,2021-11-06,01061,quantile,0.975,62.79403459559172
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.025,2.732939129165837
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.100,4.447217222667985
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.250,5.951251821198671
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.500,7.865569687582797
2021-10-31,1 wk ahead inc case,2021-11-06,01063,point,NA,7.865569687582797
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.750,10.193700158918013
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.900,12.780123018844645
2021-10-31,1 wk ahead inc case,2021-11-06,01063,quantile,0.975,18.253072689073665
2021-10-31,1 wk ahead inc case,2021-11-06,01065,quantile,0.025,1.2300332390054487
