date,cases,deaths
4/21/21,31878161,568986
4/22/21,31944402,569897
4/23/21,32008186,570770
4/24/21,32058654,571495
4/25/21,32092245,571777
4/26/21,32139580,572256
4/27/21,32191457,572969
4/28/21,32246275,573903
4/29/21,32303857,574777
4/30/21,32362374,575637
5/1/21,32407133,576352
5/2/21,32436765,576664
5/3/21,32486709,577123
5/4/21,32527664,578030
5/5/21,32572383,578806
5/6/21,32620077,579638
5/7/21,32667570,580450
5/8/21,32701236,581054
5/9/21,32723564,581300
5/10/21,32760121,581670
5/11/21,32794162,582363
5/12/21,32829645,583211
5/13/21,32868084,583991
5/14/21,32909065,584723
5/15/21,32938115,585282
5/16/21,32954825,585574
5/17/21,32984032,585958
5/18/21,33011895,586825
5/19/21,33040689,587500
5/20/21,33070307,588154
5/21/21,33099318,588850
5/22/21,33117634,589329
5/23/21,33131784,589518
5/24/21,33157412,589935
5/25/21,33180250,590635
5/26/21,33203636,591601
5/27/21,33231383,592942
5/28/21,33253407,593701
5/29/21,33264967,594040
5/30/21,33272409,594171
5/31/21,33277912,594321
6/1/21,33300482,594827
6/2/21,33317340,595421
6/3/21,33336811,596037
6/4/21,33312812,596176
6/5/21,33323260,596551
6/6/21,33329413,596803
6/7/21,33348865,597139
6/8/21,33363050,597514
6/9/21,33383714,598086
6/10/21,33399513,598546
6/11/21,33416340,599063
6/12/21,33424619,599233
6/13/21,33431406,599328
6/14/21,33446525,599538
6/15/21,33458397,599990
6/16/21,33472808,600414
6/17/21,33484995,600702
6/18/21,33497695,601171
6/19/21,33505275,601340
6/20/21,33509338,601430
6/21/21,33525182,601718
6/22/21,33537943,602150
6/23/21,33551974,602548
6/24/21,33566669,602903
6/25/21,33581632,603361
6/26/21,33588423,603487
6/27/21,33592510,603583
6/28/21,33608058,603744
6/29/21,33623787,604123
6/30/21,33639764,604446
7/1/21,33704723,604693
7/2/21,33725159,604959
7/3/21,33729152,605045
7/4/21,33732074,605082
7/5/21,33736665,605123
7/6/21,33763742,605440
7/7/21,33793961,605762
7/8/21,33843194,606128
7/9/21,33878529,606535
7/10/21,33886287,606623
7/11/21,33891830,606653
7/12/21,33927213,606926
7/13/21,33970195,607358
7/14/21,34008250,607751
7/15/21,34044268,608089
7/16/21,34096492,608446
7/17/21,34108937,608529
7/18/21,34117964,608566
7/19/21,34177146,608797
7/20/21,34239257,609097
7/21/21,34299048,609494
7/22/21,34364548,609856
7/23/21,34447610,610299
7/24/21,34469200,610400
7/25/21,34483033,610449
7/26/21,34576119,610722
7/27/21,34682937,611206
7/28/21,34767898,611701
7/29/21,34866192,612104
7/30/21,34988866,612775
7/31/21,35018564,612919
8/1/21,35041458,612982
8/2/21,35177628,613440
8/3/21,35327939,614109
8/4/21,35440283,614834
8/5/21,35567255,615408
8/6/21,35735606,616257
8/7/21,35777721,616463
8/8/21,35813789,616594
8/9/21,35992480,617314
8/10/21,36154571,618363
8/11/21,36310148,618701
8/12/21,36448857,619723
8/13/21,36636249,620809
8/14/21,36686066,621051
8/15/21,36729884,621228
8/16/21,36989377,622244
8/17/21,37133674,623237
8/18/21,37298285,624365
8/19/21,37458037,626099
8/20/21,37657643,627631
8/21/21,37737034,628100
8/22/21,37777607,628285
8/23/21,38043754,629644
8/24/21,38193951,631057
8/25/21,38364887,632522
8/26/21,38552648,634735
8/27/21,38748559,636509
8/28/21,38833818,637076
8/29/21,38875976,637356
8/30/21,39156379,639081
8/31/21,39316629,640519
9/1/21,39527624,642454
9/2/21,39703320,645391
9/3/21,39894795,647370
9/4/21,39960849,647896
9/5/21,40005266,648273
9/6/21,40082242,648788
9/7/21,40383380,651014
9/8/21,40567569,653216
9/9/21,40738140,656448
9/10/21,40914456,658865
9/11/21,40988382,659556
9/12/21,41027940,659854
9/13/21,41312998,661579
9/14/21,41465694,664235
9/15/21,41635889,666816
9/16/21,41790772,670234
9/17/21,41957710,672813
9/18/21,42025890,673637
9/19/21,42065846,673939
9/20/21,42274012,676191
9/21/21,42403987,678556
9/22/21,42551480,681343
9/23/21,42679344,684498
9/24/21,42819355,687247
9/25/21,42870947,687876
9/26/21,42905182,688178
9/27/21,43099971,690559
9/28/21,43213311,692741
9/29/21,43341823,695244
9/30/21,43458032,697988
10/1/21,43583808,700429
10/2/21,43628030,701077
10/3/21,43653869,701326
10/4/21,43826566,703362
10/5/21,43925168,705394
10/6/21,44051123,707924
10/7/21,44156525,710378
10/8/21,44269451,712822
10/9/21,44306785,713325
10/10/21,44329824,713806
10/11/21,44453504,714969
10/12/21,44565080,717501
10/13/21,44671637,719735
10/14/21,44760606,721766
10/15/21,44859166,723931
10/16/21,44892707,724317
10/17/21,44914859,724499
10/18/21,45036892,726389
10/19/21,45120575,728407
10/20/21,45207197,731512
10/21/21,45289143,733385
10/22/21,45376439,735515
10/23/21,45406263,735964
10/24/21,45423365,736112
10/25/21,45528926,737526
10/26/21,45616349,739259
10/27/21,45710893,741277
10/28/21,45797078,743050
10/29/21,45885801,745075
10/30/21,45915212,745378
10/31/21,45934095,745535
11/1/21,46058665,746688
11/2/21,46135608,748197
11/3/21,46220296,750077
11/4/21,46303525,751202
11/5/21,46395307,753517
11/6/21,46427246,753919
11/7/21,46449331,754051
11/8/21,46575792,755273
